Battleground,Code,Faction,Class,KB,D,HK,DD,HD,Honor,Win,Lose,Rol,BE
WG,WG1,Horde,Hunter,1,3,14,48155,6641,532,1,,dps,
WG,WG1,Horde,Death Knight,1,3,12,27025,7106,377,1,,dps,
WG,WG1,Alliance,Paladin,0,1,19,824,93879,252,,1,heal,
WG,WG1,Alliance,Paladin,1,2,25,7046,98599,274,,1,heal,
WG,WG1,Alliance,Rogue,2,3,23,65483,19629,268,,1,dps,
WG,WG1,Horde,Druid,4,5,12,31759,6071,531,1,,dps,
WG,WG1,Horde,Shaman,0,4,18,12933,94587,541,1,,heal,
WG,WG1,Alliance,Priest,9,5,24,123000,34687,269,,1,dps,
WG,WG1,Horde,Druid,2,1,9,13900,2438,523,1,,dps,
WG,WG1,Alliance,Priest,0,1,25,12566,36734,276,,1,heal,
WG,WG1,Alliance,Rogue,3,1,10,22327,2394,171,,1,dps,
WG,WG1,Alliance,Demon Hunter,0,5,15,29664,4364,242,,1,dps,
WG,WG1,Horde,Paladin,1,1,17,8529,193000,389,1,,heal,
WG,WG1,Horde,Demon Hunter,3,4,18,125000,17460,543,1,,dps,
WG,WG1,Alliance,Warlock,8,2,24,101000,21853,270,,1,dps,
WG,WG1,Alliance,Warlock,5,3,25,124000,27687,274,,1,dps,
WG,WG1,Alliance,Druid,0,0,17,6796,2738,248,,1,dps,
WG,WG1,Horde,Demon Hunter,7,3,16,89349,14996,537,1,,dps,
WG,WG1,Horde,Shaman,1,3,15,43666,17475,383,1,,dps,
WG,WG1,Horde,Warrior,4,1,17,59125,13679,390,1,,dps,
WG,WG2,Alliance,Priest,0,3,17,1632,45269,524,1,,heal,
WG,WG2,Horde,Death Knight,1,2,19,15387,11309,140,,1,dps,
WG,WG2,Alliance,Warrior,2,4,11,20530,1189,509,1,,dps,
WG,WG2,Horde,Death Knight,3,1,21,29076,6734,145,,1,dps,
WG,WG2,Horde,Demon Hunter,6,2,19,43667,6286,137,,1,dps,
WG,WG2,Alliance,Warrior,3,3,16,20454,3284,521,1,,dps,
WG,WG2,Horde,Druid,0,0,0,8162,780,85,,1,dps,
WG,WG2,Alliance,Warlock,6,2,10,25818,11215,523,1,,dps,
WG,WG2,Horde,Shaman,0,4,19,3445,43063,141,,1,heal,
WG,WG2,Horde,Warrior,5,1,20,29930,5117,134,,1,dps,
WG,WG2,Alliance,Death Knight,2,2,17,40511,5841,522,1,,dps,
WG,WG2,Alliance,Monk,0,1,12,8949,15695,510,1,,heal,
WG,WG2,Alliance,Monk,0,0,17,882,9598,747,1,,heal,
WG,WG2,Alliance,Rogue,2,1,18,21731,5777,528,1,,dps,
WG,WG2,Alliance,Demon Hunter,1,0,15,8126,537,742,1,,dps,
WG,WG2,Alliance,Death Knight,3,2,15,41179,15379,740,1,,dps,
WG,WG2,Horde,Demon Hunter,1,3,17,27526,2238,136,,1,dps,
